date,forecast_date,actual_anomaly_C,actual_forecast_anomaly_C,predicted_anomaly_C,predicted_temperature_C,extreme_heat_risk
2023-06-18,2023-06-19,2.383511623974364,2.2730495855128297,1.9808466518988253,36.687235374078305,False
2023-06-19,2023-06-20,2.2730495855128297,2.5596898932051317,1.9119892516115333,36.61837797379101,False
2023-06-20,2023-06-21,2.5596898932051317,2.2741328547435913,2.23391612509978,36.940304847279265,False
2023-06-21,2023-06-22,2.2741328547435913,1.2360020085897503,1.8780463360331154,36.5844350582126,False
2023-06-22,2023-06-23,1.2360020085897503,-0.46561818371794317,0.8486216980731599,35.55501042025264,False
2023-06-23,2023-06-24,-0.46561818371794317,-2.4036878375640995,-0.7252294399202084,33.98115928225928,False
2023-06-24,2023-06-25,-2.4036878375640995,-2.823622952948714,-2.414398035105417,32.29199068707407,False
2023-06-25,2023-06-26,-2.823622952948714,-5.796473337564102,-2.467946858130376,32.23844186404911,False
2023-06-26,2023-06-27,-5.796473337564102,-6.178507529871791,-5.4950665646395285,29.211322157539954,False
2023-06-27,2023-06-28,-6.178507529871791,-5.140353760641023,-5.3029357507603425,29.403452971419142,False
2023-06-28,2023-06-29,-5.140353760641023,-4.121504452948713,-4.140572243865748,30.565816478313735,False
2023-06-29,2023-06-30,-4.121504452948713,-3.596435068333328,-3.281162551691833,31.42522617048765,False
2023-06-30,2023-07-01,-3.596435068333328,1.1569503488833774,-2.9345901876481117,27.371062886545435,False
2023-07-01,2023-07-02,1.1569503488833774,1.934371387344914,1.934711542320382,32.24036461651393,False
2023-07-02,2023-07-03,1.934371387344914,3.1603079258064533,1.8018073122138958,32.10746038640744,False
2023-07-03,2023-07-04,3.1603079258064533,3.4532221565756807,2.929819561062203,33.235472635255746,True
2023-07-04,2023-07-05,3.4532221565756807,1.4150092334987612,2.992239444365451,33.297892518558996,True
2023-07-05,2023-07-06,1.4150092334987612,0.24648027196029787,0.8011788286354147,31.10683190282896,False
2023-07-06,2023-07-07,0.24648027196029787,0.1266933104218353,-0.01574447328034144,30.289908600913204,False
2023-07-07,2023-07-08,0.1266933104218353,0.7922005411910682,0.09156269215527221,30.39721576634882,False
2023-07-08,2023-07-09,0.7922005411910682,0.5334531565756855,0.8117843849761404,31.117437459169686,False
2023-07-09,2023-07-10,0.5334531565756855,1.5140988488833749,0.40853667769964647,30.714189751893194,False
2023-07-10,2023-07-11,1.5140988488833749,-1.2531599588089328,1.48617902430252,31.791832098496066,False
2023-07-11,2023-07-12,-1.2531599588089328,-0.8285768434243153,-1.6046643720411513,28.700988702152394,False
2023-07-12,2023-07-13,-0.8285768434243153,0.6520065796526069,-0.6094389256870959,29.69621414850645,False
2023-07-13,2023-07-14,0.6520065796526069,0.3263047719603023,0.8552790811489001,31.160932155342447,False
2023-07-14,2023-07-15,0.3263047719603023,-0.39460257419354505,0.21969311517590823,30.525346189369454,False
2023-07-15,2023-07-16,-0.39460257419354505,-1.2068381895781606,-0.4698029512527691,29.835850122940776,False
2023-07-16,2023-07-17,-1.2068381895781606,-1.7313042280397006,-1.1761790452783143,29.129474028915233,False
2023-07-17,2023-07-18,-1.7313042280397006,-3.033649035732008,-1.5632560834971037,28.74239699069644,False
2023-07-18,2023-07-19,-3.033649035732008,-2.993110958808934,-2.8215826959196426,27.484070378273906,False
2023-07-19,2023-07-20,-2.993110958808934,-1.7198231126550851,-2.5198726043302644,27.785780469863283,False
2023-07-20,2023-07-21,-1.7198231126550851,-2.2937921895781592,-1.1956023541110097,29.110050720082537,False
2023-07-21,2023-07-22,-2.2937921895781592,-3.000273304962775,-2.0496981287159843,28.255954945477562,False
2023-07-22,2023-07-23,-3.000273304962775,-1.246961420347393,-2.674669823213476,27.630983250980073,False
2023-07-23,2023-07-24,-1.246961420347393,-0.39152042034739054,-0.699383975163147,29.6062690990304,False
2023-07-24,2023-07-25,-0.39152042034739054,-1.400401535732005,-0.15334651776993707,30.15230655642361,False
2023-07-25,2023-07-26,-1.400401535732005,-1.0859836126550846,-1.3793332447964681,28.92631982939708,False
2023-07-26,2023-07-27,-1.0859836126550846,-2.546745612655087,-0.8494686357543471,29.456184438439198,False
2023-07-27,2023-07-28,-2.546745612655087,-2.0064103434243172,-2.44057823317327,27.865074841020277,False
2023-07-28,2023-07-29,-2.0064103434243172,-1.0213225357320077,-1.5843507639444607,28.721302310249087,False
2023-07-29,2023-07-30,-1.0213225357320077,-0.3873927280396998,-0.6611546090769973,29.64449846511655,False
2023-07-30,2023-07-31,-0.3873927280396998,-0.3347139972704696,-0.19395123499638844,30.11170183919716,False
2023-07-31,2023-08-01,-0.3347139972704696,-0.08959992047146415,-0.26504235640909696,29.625826410216213,False
2023-08-01,2023-08-02,-0.08959992047146415,-1.1260004204714633,-0.019048353239175336,29.871820413386136,False
2023-08-02,2023-08-03,-1.1260004204714633,-1.870724112779154,-1.152317000796288,28.738551765829023,False
2023-08-03,2023-08-04,-1.870724112779154,-0.5305150358560802,-1.7252365686940223,28.165632197931288,False
2023-08-04,2023-08-05,-0.5305150358560802,0.5187954256823808,-0.17459873008683308,29.71627003653848,False
2023-08-05,2023-08-06,0.5187954256823808,0.2189487718362244,0.6565467969203788,30.547415563545687,False
2023-08-06,2023-08-07,0.2189487718362244,0.2953796949131515,0.1338799234985651,30.024748690123875,False
2023-08-07,2023-08-08,0.2953796949131515,0.05746519491315283,0.27355394205391637,30.164422708679226,False
2023-08-08,2023-08-09,0.05746519491315283,0.733923194913153,0.009388179861654838,29.900256946486966,False
2023-08-09,2023-08-10,0.733923194913153,1.6486530410669964,0.7645872688927842,30.655456035518093,False
2023-08-10,2023-08-11,1.6486530410669964,1.8476462718362292,1.5870608348358632,31.477929601461174,False
2023-08-11,2023-08-12,1.8476462718362292,1.5011706564516132,1.6131638606318042,31.504032627257114,False
2023-08-12,2023-08-13,1.5011706564516132,1.0312638487593055,1.2110003734817583,31.10186914010707,False
2023-08-13,2023-08-14,1.0312638487593055,0.7525916564516137,0.7882818999724656,30.679150666597774,False
2023-08-14,2023-08-15,0.7525916564516137,0.5653148102977674,0.5902419290301861,30.481110695655495,False
2023-08-15,2023-08-16,0.5653148102977674,1.5215008102977698,0.4497620109261609,30.34063077755147,False
2023-08-16,2023-08-17,1.5215008102977698,0.9227158102977668,1.4875807443083366,31.378449510933645,False
2023-08-17,2023-08-18,0.9227158102977668,-1.6184932281637714,0.670651892621289,30.5615206592466,False
2023-08-18,2023-08-19,-1.6184932281637714,-2.878025112779156,-1.8691991875143226,28.021669579110988,False
2023-08-19,2023-08-20,-2.878025112779156,-1.4060328050868485,-2.6812013866031914,27.20966738002212,False
2023-08-20,2023-08-21,-1.4060328050868485,0.17665504106699714,-0.8901720287737065,29.000696737851605,False
2023-08-21,2023-08-22,0.17665504106699714,0.5508788487593073,0.47285066856199204,30.363719435187303,False
2023-08-22,2023-08-23,0.5508788487593073,0.9877015410669969,0.5493233251887646,30.440192091814076,False
2023-08-23,2023-08-24,0.9877015410669969,0.7429031949131506,0.9318987265682638,30.822767493193574,False
2023-08-24,2023-08-25,0.7429031949131506,0.9297133872208434,0.5887772199328526,30.47964598655816,False
2023-08-25,2023-08-26,0.9297133872208434,1.1900804256823818,0.8329898407570049,30.723858607382315,False
2023-08-26,2023-08-27,1.1900804256823818,1.4944671564516128,1.06823915207976,30.95910791870507,False
2023-08-27,2023-08-28,1.4944671564516128,1.7067746564516142,1.334904840801145,31.225773607426454,False
2023-08-28,2023-08-29,1.7067746564516142,2.0413693872208434,1.4964566337790353,31.387325400404347,False
2023-08-29,2023-08-30,2.0413693872208434,2.9548185026054625,1.8042998008779447,31.695168567503256,False
2023-08-30,2023-08-31,2.9548185026054625,3.5388783487593045,2.6934969181259825,32.58436568475129,False
2023-08-31,2023-09-01,3.5388783487593045,2.967617439230768,3.1227804207840637,33.94942371232253,True
2023-09-01,2023-09-02,2.967617439230768,1.9278330161538442,2.4087410961719433,33.235384387710404,False
